ID,medv
3,31.279474290018726
6,25.64467092007944
8,18.669399191643983
9,9.704692929075666
10,18.18776827042017
18,17.257212364585754
20,19.17726072155058
25,15.734966686960359
26,13.249822072944923
27,15.571825702560886
29,19.869829738274255
30,21.363183277404556
33,7.749353501146565
34,14.125618516126604
36,24.379184892683124
37,22.781428339700373
38,23.92830168664046
42,28.951218826356538
49,6.983374590859267
53,28.131501735490858
60,21.493403641283322
63,24.36331020436279
70,21.015749304119634
72,22.276292548900667
79,21.4817444526486
80,23.134973496541427
83,26.53357031583277
92,27.407648623450882
93,29.63245148890648
96,28.66678691191078
98,36.0171627938054
99,35.76571543961284
100,32.41445523535381
105,21.78926284792741
106,18.523947859024318
111,21.244725162283984
113,20.642766095878194
114,20.485086346671242
116,20.22964004377824
126,22.776396377377957
130,14.56069361414248
131,20.93906783274144
133,21.03828501484055
136,17.818680284975983
141,13.617495151178591
144,12.011523336463824
145,8.282759132538313
147,15.725401887531362
152,18.82390014838817
153,21.900368035626094
156,21.239384965703074
158,33.93579310527352
163,42.64212385477451
169,26.35818872431294
185,21.593939990165868
186,23.905123363168876
189,32.51481090469233
196,40.69463756386702
197,35.37480504566618
199,33.69092226853875
200,30.03049352508428
203,36.989493800817506
208,16.80662395537027
210,16.4369116857613
211,22.366505115361313
213,23.204899024181493
216,24.485588390813678
218,28.03618599273112
219,24.995325622833438
220,30.30865301169754
221,33.95889669365389
229,36.21532845134447
232,33.26842371276569
238,32.747471396190925
239,28.150409726620005
240,27.848909768870193
242,22.506148167977802
246,11.729428719253832
248,18.728937796347097
253,24.973325118229095
255,22.817807279945356
256,20.45092869765803
257,37.07435915980771
258,43.1055419047626
259,35.822219006259964
260,34.36547669173452
268,40.328694285550974
270,25.76665181980473
271,21.44617015655784
276,33.75974044440139
277,36.30540748926517
278,35.86207195422419
279,30.075638354013122
281,38.01364339993627
288,26.24887085038698
290,25.97476498736113
292,34.45631846407015
295,23.490681340249072
296,27.93672990576441
299,28.172097844855823
300,31.142050635643056
301,29.55165527895177
308,32.15500671886693
314,24.989696628294084
315,24.7569982366356
320,20.527755761406677
322,24.45813236669852
323,22.397771048792805
324,18.372881428344108
327,23.45131800689353
330,23.56424092771336
332,18.470998719516615
333,22.16734624836777
336,20.03037508127898
338,18.26667555257198
346,14.933950268080576
347,12.903819328179392
351,19.132677222795593
352,19.14788735870064
354,23.75796975109888
355,13.23130063761257
356,15.717510062842763
362,20.20949345992061
364,22.627173745421015
365,40.713943068681004
370,35.716628407707134
376,27.482718814998467
379,17.376340627207657
380,18.13753456590743
381,20.162361380493884
382,19.734423876703048
386,8.605076427625924
389,6.728719650179876
391,18.206561086213163
394,21.531574133851027
396,21.411183608952882
398,17.12289684726402
400,11.117573179948828
403,19.093167782542686
405,9.426520011205191
406,12.107942372238902
407,9.079638499435355
410,20.287057627596457
411,17.94058339337555
412,16.860299786820683
413,0.707934214357195
417,12.933547875197625
421,20.725322649566728
422,18.984793990916135
423,19.50978416646093
424,12.473026888201012
427,16.73856356160396
431,18.082557204829037
436,13.336880871481288
437,14.883028523117233
439,4.096574130446925
447,18.261163228970567
450,17.61625798897267
451,16.28686207811574
455,15.062918951543619
457,12.175271428140235
471,20.45916000110658
474,26.541120020125433
476,15.63020938921618
483,29.5680836358251
486,23.04825946490706
490,6.730783629486584
495,19.661512083768127
496,15.675309172394456
497,12.071867279630602
499,20.14956380911532
501,19.043788717319444
505,25.099189781364466
